+------+----------+-----------------+---------+----------------+----+---------+---------+-------------+-------+----+------------+------------+-----------------+-----------------------------+----------+---------+---------------------------+
|dateID|date      |month_weekday_int|day_str  |week_weekday_int|week|month_int|month_str|month_firstOf|quarter|year|year_day_int|is_leap_year|date_str_abr     |date_str_full                |unix_ts   |isHoliday|holiday                    |
|32    |2021-02-01|1                |Monday   |2               |5   |2        |February |2021-02-01   |1      |2021|32          |0           |Mon 1st Feb 2021 |Monday 1st February 2021     |1612162800|0        |NULL                       |
|33    |2021-02-02|2                |Tuesday  |3               |5   |2        |February |2021-02-01   |1      |2021|33          |0           |Tue 2nd Feb 2021 |Tuesday 2nd February 2021    |1612249200|0        |NULL                       |
|34    |2021-02-03|3                |Wednesday|4               |5   |2        |February |2021-02-01   |1      |2021|34          |0           |Wed 3rd Feb 2021 |Wednesday 3rd February 2021  |1612335600|0        |NULL                       |
|35    |2021-02-04|4                |Thursday |5               |5   |2        |February |2021-02-01   |1      |2021|35          |0           |Thu 4th Feb 2021 |Thursday 4th February 2021   |1612422000|0        |NULL                       |
|36    |2021-02-05|5                |Friday   |6               |5   |2        |February |2021-02-01   |1      |2021|36          |0           |Fri 5th Feb 2021 |Friday 5th February 2021     |1612508400|0        |NULL                       |
|37    |2021-02-06|6                |Saturday |7               |5   |2        |February |2021-02-01   |1      |2021|37          |0           |Sat 6th Feb 2021 |Saturday 6th February 2021   |1612594800|0        |NULL                       |
|38    |2021-02-07|7                |Sunday   |1               |6   |2        |February |2021-02-01   |1      |2021|38          |0           |Sun 7th Feb 2021 |Sunday 7th February 2021     |1612681200|0        |NULL                       |
|39    |2021-02-08|8                |Monday   |2               |6   |2        |February |2021-02-01   |1      |2021|39          |0           |Mon 8th Feb 2021 |Monday 8th February 2021     |1612767600|0        |NULL                       |
|40    |2021-02-09|9                |Tuesday  |3               |6   |2        |February |2021-02-01   |1      |2021|40          |0           |Tue 9th Feb 2021 |Tuesday 9th February 2021    |1612854000|0        |NULL                       |
|41    |2021-02-10|10               |Wednesday|4               |6   |2        |February |2021-02-01   |1      |2021|41          |0           |Wed 10th Feb 2021|Wednesday 10th February 2021 |1612940400|0        |NULL                       |
